level,episodes,success_rate,mean_steps,mean_reward,time_penalty,purity_reward,complete_reward,win_reward,blocked_penalty
1,100,1.0,1.36,118.58799999999995,-0.27199999999999996,3.86,10.0,105.0,0.0
2,100,0.89,6.64,118.12533333333329,-1.3279999999999998,9.743333333333332,13.35,97.9,0.0
3,100,0.96,22.32,175.68899999999996,-4.464000000000001,10.232999999999999,60.5,110.4,0.0
4,100,0.92,27.24,180.82700000000006,-5.448000000000002,11.385,66.15,110.4,0.0
5,100,0.06,18.57,16.51742857142857,-3.7140000000000004,4.6414285714285715,21.85,7.5,-0.6
6,100,0.01,16.73,-0.3466250000000053,-3.3459999999999996,3.539375,13.5,1.3,-1.4
7,100,0.01,12.25,-6.739444444444445,-2.45,2.2305555555555556,6.65,1.35,-2.2
8,100,0.0,11.45,-11.053500000000001,-2.2899999999999996,1.9164999999999994,4.4,0.0,-3.6
9,100,0.0,11.04,-11.876181818181815,-2.208,1.7218181818181817,4.05,0.0,-4.8
10,100,0.0,11.71,-12.155333333333333,-2.342,1.6566666666666665,4.15,0.0,-5.4
11,100,0.0,10.92,-13.430538461538463,-2.184,1.3934615384615388,3.1,0.0,-5.8
12,100,0.0,10.46,-14.117357142857145,-2.092,1.3246428571428575,2.45,0.0,-6.0
13,100,0.0,10.46,-14.117357142857145,-2.092,1.3246428571428575,2.45,0.0,-6.0
14,100,0.0,10.46,-14.117357142857145,-2.092,1.3246428571428575,2.45,0.0,-6.0
