level,episodes,success_rate,mean_steps,mean_reward,time_penalty,purity_reward,complete_reward,win_reward,blocked_penalty
1,100,1.0,1.36,118.58799999999995,-0.27199999999999996,3.86,10.0,105.0,0.0
2,100,0.97,6.77,130.05433333333332,-1.3539999999999994,10.578333333333333,14.55,106.7,0.0
3,100,0.96,15.53,154.944,-3.1060000000000003,10.25,38.0,110.4,0.0
4,100,0.22,20.09,47.821999999999996,-4.018000000000001,6.169999999999999,30.75,26.4,0.0
5,100,0.05,16.34,14.276285714285716,-3.2679999999999993,3.734285714285714,21.9,6.25,-0.6
6,100,0.02,14.54,-0.02925000000000054,-2.908000000000001,3.19875,11.8,2.6,-1.6
7,100,0.0,13.87,-6.876222222222224,-2.7739999999999996,2.557777777777778,8.2,0.0,-2.8
8,100,0.0,11.64,-10.998,-2.3280000000000003,1.8600000000000003,4.55,0.0,-3.6
9,100,0.0,11.8,-10.614545454545455,-2.36,1.7354545454545456,5.05,0.0,-3.4
10,100,0.0,11.14,-12.802999999999999,-2.228,1.5349999999999997,3.45,0.0,-5.2
11,100,0.0,11.09,-13.641846153846155,-2.218,1.4461538461538463,3.05,0.0,-6.4
12,100,0.0,11.08,-13.585642857142856,-2.2160000000000006,1.4303571428571429,3.0,0.0,-6.0
13,100,0.0,11.08,-13.585642857142856,-2.2160000000000006,1.4303571428571429,3.0,0.0,-6.0
14,100,0.0,11.08,-13.585642857142856,-2.2160000000000006,1.4303571428571429,3.0,0.0,-6.0
