level,episodes,success_rate,mean_steps,mean_reward,time_penalty,purity_reward,complete_reward,win_reward,blocked_penalty
1,100,1.0,1.36,118.58799999999995,-0.27199999999999996,3.86,10.0,105.0,0.0
2,100,0.89,6.64,118.12533333333329,-1.3279999999999998,9.743333333333332,13.35,97.9,0.0
3,100,0.97,21.96,177.55199999999996,-4.392000000000001,10.284,60.75,111.55,0.0
4,100,0.9,26.44,175.78866666666661,-5.288000000000002,11.216666666666665,63.8,108.0,0.0
5,100,0.07,19.69,19.636285714285716,-3.938,4.734285714285714,24.45,8.75,-0.4
6,100,0.01,18.56,3.674249999999993,-3.7119999999999993,3.83625,17.55,1.3,-1.2
7,100,0.0,12.61,-7.850333333333334,-2.522,2.2216666666666667,7.85,0.0,-2.4
8,100,0.0,11.4,-11.206,-2.28,1.8939999999999997,4.2,0.0,-3.4
9,100,0.0,11.03,-12.11372727272727,-2.206,1.7322727272727272,3.8,0.0,-4.8
10,100,0.0,11.57,-12.271916666666666,-2.314,1.562083333333333,3.8,0.0,-4.4
11,100,0.0,10.64,-13.464153846153847,-2.128,1.3738461538461542,3.15,0.0,-6.2
12,100,0.0,10.8,-13.819642857142858,-2.16,1.400357142857143,2.8,0.0,-6.2
13,100,0.0,10.8,-13.819642857142858,-2.16,1.400357142857143,2.8,0.0,-6.2
14,100,0.0,10.8,-13.819642857142858,-2.16,1.400357142857143,2.8,0.0,-6.2
